Portfolio,Facility ID,Property type,Rating snapshot date,Internal rating,Loan Balance,Interest rate,Property value,Net operating income,Interest coverage ratio,Original term,Months to maturity,Tenant turnover,Year of construction,Default flag
Commercial Real Estate,ABC1003015,Multifamily residential,1/1/11,6,"$20,573,244.14 ",5.28%,"$37,405,898.44 ","$1,698,227.79 ",1.56,60,17,10%,2009,0
Commercial Real Estate,ABC1003016,Retail space,1/1/14,5,"$311,432.06 ",4.53%,"$519,053.44 ","$42,510.48 ",3.01,60,26,9%,1997,0
Commercial Real Estate,ABC1003017,Retail space,1/1/12,9,"$3,270,672.68 ",4.86%,"$4,480,373.53 ","$263,445.96 ",1.66,60,51,1%,2000,0
Commercial Real Estate,ABC1003018,Multifamily residential,1/1/12,5,"$792,784.83 ",4.70%,"$1,299,647.27 ","$114,498.92 ",3.07,60,58,40%,2000,0
Commercial Real Estate,ABC1003019,Office building,1/1/15,7,"$8,569,179.15 ",5.81%,"$13,601,871.66 ","$953,491.20 ",1.92,120,28,11%,1999,0
Commercial Real Estate,ABC1003020,Multifamily residential,1/1/13,10,"$1,901,213.85 ",5.95%,"$2,376,517.31 ","$159,226.66 ",1.41,120,10,2%,1998,1
Commercial Real Estate,ABC1003021,Office building,1/1/19,11,"$3,392,309.65 ",5.57%,"$4,136,962.99 ","$223,809.70 ",1.18,60,33,3%,1997,0
Commercial Real Estate,ABC1003022,Retail space,1/1/15,10,"$6,587,200.41 ",4.28%,"$8,554,805.72 ","$389,243.66 ",1.38,120,67,2%,1995,0
Commercial Real Estate,ABC1003023,Office building,1/1/17,10,"$5,338,555.14 ",5.54%,"$6,844,301.47 ","$512,638.18 ",1.73,120,19,30%,2006,0
Commercial Real Estate,ABC1003024,Multifamily residential,1/1/16,4,"$782,092.05 ",5.88%,"$1,818,818.73 ","$135,502.00 ",2.95,120,8,15%,1995,0
Commercial Real Estate,ABC1003025,Retail space,1/1/12,8,"$1,604,352.74 ",4.37%,"$2,110,990.45 ","$182,600.67 ",2.6,60,29,7%,2001,0
Commercial Real Estate,ABC1003026,Retail space,1/1/17,9,"$2,256,925.89 ",5.16%,"$3,134,619.29 ","$182,748.30 ",1.57,120,87,7%,2009,1
Commercial Real Estate,ABC1003027,Retail space,1/1/11,8,"$998,605.10 ",5.62%,"$1,664,341.83 ","$73,563.91 ",1.31,120,5,10%,2006,0
Commercial Real Estate,ABC1003028,Retail space,1/1/15,6,"$2,501,626.85 ",4.49%,"$3,733,771.41 ","$352,094.64 ",3.13,120,72,11%,2005,0
Commercial Real Estate,ABC1003029,Office building,1/1/13,5,"$1,073,911.96 ",4.47%,"$1,952,567.20 ","$129,064.69 ",2.69,120,96,15%,2007,0
Commercial Real Estate,ABC1003030,Multifamily residential,1/1/17,9,"$1,548,097.20 ",5.44%,"$1,911,231.11 ","$183,860.43 ",2.18,120,89,2%,1997,0
Commercial Real Estate,ABC1003031,Multifamily residential,1/1/15,11,"$9,307,086.76 ",4.21%,"$11,932,162.51 ","$406,886.74 ",1.04,60,18,10%,2003,1
Commercial Real Estate,ABC1003032,Retail space,1/1/14,9,"$1,390,676.56 ",5.92%,"$2,015,473.28 ","$118,912.92 ",1.44,60,16,8%,2004,0
Commercial Real Estate,ABC1003033,Multifamily residential,1/1/18,6,"$4,586,577.24 ",4.82%,"$7,397,705.22 ","$579,980.09 ",2.62,120,1,4%,2002,0
Commercial Real Estate,ABC1003034,Retail space,1/1/15,9,"$6,700,400.69 ",4.42%,"$9,710,725.64 ","$383,573.66 ",1.3,60,33,5%,2000,0
Commercial Real Estate,ABC1003035,Retail space,1/1/12,12,"$483,686.19 ",5.35%,"$589,861.21 ","$22,532.70 ",0.87,60,35,15%,2005,0
Commercial Real Estate,ABC1003036,Multifamily residential,1/1/11,4,"$3,875,902.43 ",5.51%,"$7,910,004.95 ","$554,491.35 ",2.6,120,33,3%,1996,0
Commercial Real Estate,ABC1003037,Retail space,1/1/15,8,"$12,865,391.86 ",4.63%,"$18,120,270.22 ","$1,355,396.21 ",2.28,180,13,36%,1998,0
Commercial Real Estate,ABC1003038,Multifamily residential,1/1/15,7,"$1,429,151.69 ",5.40%,"$2,422,290.99 ","$133,468.23 ",1.73,120,107,4%,2008,0
Commercial Real Estate,ABC1003039,Multifamily residential,1/1/13,11,"$4,211,021.29 ",5.75%,"$5,848,640.68 ","$106,445.26 ",0.44,120,27,5%,1998,0
Commercial Real Estate,ABC1003040,Multifamily residential,1/1/16,6,"$5,399,357.96 ",5.77%,"$9,309,237.87 ","$672,126.97 ",2.16,120,2,39%,2001,0
Commercial Real Estate,ABC1003041,Retail space,1/1/14,8,"$3,568,048.09 ",5.40%,"$5,575,075.14 ","$318,336.79 ",1.65,60,34,9%,2006,0
Commercial Real Estate,ABC1003042,Retail space,1/1/15,7,"$2,528,948.98 ",5.45%,"$3,890,690.74 ","$317,869.43 ",2.31,120,34,5%,2009,0
Commercial Real Estate,ABC1003043,Multifamily residential,1/1/18,8,"$1,419,239.57 ",4.80%,"$2,326,622.24 ","$89,342.29 ",1.31,120,110,4%,1996,0
Commercial Real Estate,ABC1003044,Retail space,1/1/12,4,"$8,368,160.29 ",4.01%,"$14,183,322.53 ","$1,601,297.11 ",4.77,60,5,1%,2008,0
Commercial Real Estate,ABC1003045,Multifamily residential,1/1/11,7,"$2,983,635.21 ",4.68%,"$4,262,336.01 ","$384,462.71 ",2.75,60,8,15%,2002,0
Commercial Real Estate,ABC1003046,Retail space,1/1/17,10,"$4,080,663.85 ",5.36%,"$6,090,543.06 ","$58,469.21 ",0.27,60,20,1%,1999,0
Commercial Real Estate,ABC1003047,Multifamily residential,1/1/17,11,"$7,517,056.05 ",4.09%,"$9,637,251.34 ","$264,060.69 ",0.86,120,30,12%,2000,0
Commercial Real Estate,ABC1003048,Office building,1/1/19,7,"$3,115,800.98 ",4.76%,"$4,582,060.26 ","$385,351.27 ",2.6,60,41,4%,2003,0
Commercial Real Estate,ABC1003049,Retail space,1/1/15,7,"$5,549,806.38 ",4.41%,"$8,283,293.11 ","$514,392.50 ",2.1,120,103,2%,2009,0
Commercial Real Estate,ABC1003050,Retail space,1/1/12,9,"$9,948,531.40 ",5.48%,"$13,628,125.20 ","$809,510.64 ",1.48,120,118,4%,2006,0
Commercial Real Estate,ABC1003051,Multifamily residential,1/1/16,9,"$4,364,167.92 ",5.03%,"$6,513,683.46 ","$262,501.44 ",1.2,120,118,27%,2000,0
Commercial Real Estate,ABC1003052,Retail space,1/1/13,8,"$5,261,192.01 ",5.85%,"$7,624,915.96 ","$491,807.08 ",1.6,60,30,10%,2005,0
Commercial Real Estate,ABC1003053,Retail space,1/1/13,11,"$7,775,006.65 ",4.31%,"$8,835,234.83 ","$622,884.06 ",1.86,120,104,15%,2007,1
Commercial Real Estate,ABC1003054,Multifamily residential,1/1/17,9,"$463,529.40 ",5.65%,"$643,790.84 ","$42,618.95 ",1.63,60,22,12%,1996,0
Commercial Real Estate,ABC1003055,Multifamily residential,1/1/13,7,"$4,137,948.50 ",5.55%,"$6,896,580.83 ","$418,622.46 ",1.82,60,26,11%,2003,0
Commercial Real Estate,ABC1003056,Retail space,1/1/18,11,"$10,490,071.11 ",5.33%,"$12,792,769.65 ","$578,233.19 ",1.03,60,3,9%,2004,0
Commercial Real Estate,ABC1003057,Retail space,1/1/16,6,"$4,943,541.74 ",4.64%,"$8,672,880.24 ","$452,724.35 ",1.97,60,32,2%,1995,0
Commercial Real Estate,ABC1003058,Multifamily residential,1/1/13,9,"$2,718,673.40 ",5.33%,"$4,057,721.50 ","$180,568.61 ",1.25,120,59,5%,2002,0
Commercial Real Estate,ABC1003059,Office building,1/1/17,9,"$2,865,822.15 ",4.76%,"$4,094,031.64 ","$169,492.91 ",1.24,120,119,12%,2008,0
Commercial Real Estate,ABC1003060,Multifamily residential,1/1/12,8,"$17,457,277.26 ",5.51%,"$27,709,963.90 ","$1,030,810.66 ",1.07,120,54,13%,2001,0
Commercial Real Estate,ABC1003061,Retail space,1/1/15,5,"$2,453,474.91 ",4.84%,"$4,460,863.47 ","$256,053.56 ",2.16,120,47,6%,1999,0
Commercial Real Estate,ABC1003062,Multifamily residential,1/1/17,10,"$5,316,596.24 ",4.07%,"$6,995,521.37 ","$243,444.14 ",1.13,120,54,13%,1997,0
Commercial Real Estate,ABC1003063,Retail space,1/1/14,6,"$1,134,320.76 ",5.67%,"$1,955,725.45 ","$116,952.38 ",1.82,60,37,37%,2001,0
Commercial Real Estate,ABC1003064,Office building,1/1/16,6,"$2,494,220.22 ",5.32%,"$4,227,491.90 ","$279,437.21 ",2.11,120,120,5%,2002,0
Commercial Real Estate,ABC1003065,Retail space,1/1/16,8,"$2,551,804.08 ",5.62%,"$4,115,813.03 ","$155,577.73 ",1.08,180,9,8%,2003,0
Commercial Real Estate,ABC1003066,Multifamily residential,1/1/14,10,"$4,705,383.99 ",4.55%,"$5,228,204.43 ","$482,563.27 ",2.25,60,2,11%,2003,0
Commercial Real Estate,ABC1003067,Multifamily residential,1/1/17,7,"$4,960,240.16 ",4.41%,"$7,086,057.37 ","$571,844.83 ",2.61,60,5,3%,2006,0
Commercial Real Estate,ABC1003068,Retail space,1/1/13,10,"$3,948,746.53 ",5.65%,"$4,815,544.55 ","$377,538.69 ",1.69,120,86,39%,2006,0
Commercial Real Estate,ABC1003069,Multifamily residential,1/1/12,7,"$2,510,585.23 ",4.58%,"$3,692,037.10 ","$290,563.32 ",2.53,120,98,1%,1999,0
Commercial Real Estate,ABC1003070,Multifamily residential,1/1/19,8,"$2,153,152.58 ",4.59%,"$2,949,524.08 ","$219,149.64 ",2.22,180,75,12%,1998,0
Commercial Real Estate,ABC1003071,Retail space,1/1/15,8,"$5,906,673.96 ",4.85%,"$8,319,259.10 ","$670,532.28 ",2.34,60,32,34%,2009,0
Commercial Real Estate,ABC1003072,Retail space,1/1/14,9,"$1,182,762.73 ",5.09%,"$1,497,168.02 ","$113,335.62 ",1.88,180,23,38%,2007,0
Commercial Real Estate,ABC1003073,Multifamily residential,1/1/18,10,"$4,460,803.41 ",4.31%,"$5,947,737.88 ","$262,890.01 ",1.37,120,49,8%,2007,0
Commercial Real Estate,ABC1003074,Retail space,1/1/14,7,"$1,156,277.01 ",4.94%,"$1,700,407.37 ","$147,425.32 ",2.58,120,4,6%,2006,0
Commercial Real Estate,ABC1003075,Multifamily residential,1/1/13,9,"$5,393,605.23 ",4.39%,"$7,191,473.64 ","$407,037.41 ",1.72,120,7,26%,2005,0
Commercial Real Estate,ABC1003076,Multifamily residential,1/1/14,8,"$10,133,822.54 ",4.18%,"$16,085,432.61 ","$696,499.23 ",1.64,120,5,15%,2003,0
Commercial Real Estate,ABC1003077,Retail space,1/1/17,10,"$7,598,197.40 ",5.57%,"$10,267,834.32 ","$579,105.86 ",1.37,60,56,11%,1999,0
Commercial Real Estate,ABC1003078,Retail space,1/1/16,7,"$19,136,826.45 ",4.63%,"$28,142,391.84 ","$2,003,738.30 ",2.26,120,118,3%,2007,0
Commercial Real Estate,ABC1003079,Retail space,1/1/11,9,"$1,321,398.40 ",5.42%,"$2,064,685.00 ","$70,818.70 ",0.99,60,14,9%,2004,0
Commercial Real Estate,ABC1003080,Office building,1/1/16,9,"$20,898,614.98 ",5.00%,"$32,151,715.35 ","$925,969.40 ",0.89,120,4,34%,2005,0
Commercial Real Estate,ABC1003081,Retail space,1/1/18,5,"$434,379.48 ",4.31%,"$736,236.40 ","$48,002.61 ",2.56,60,43,6%,2003,0
Commercial Real Estate,ABC1003082,Retail space,1/1/17,6,"$15,849,399.86 ",5.48%,"$30,479,615.12 ","$1,505,692.99 ",1.73,120,96,12%,1995,0
Commercial Real Estate,ABC1003083,Multifamily residential,1/1/18,8,"$2,615,543.85 ",4.28%,"$3,632,699.80 ","$238,668.38 ",2.13,120,95,4%,2009,0
Commercial Real Estate,ABC1003084,Retail space,1/1/11,9,"$4,510,018.89 ",5.11%,"$6,352,139.28 ","$345,556.38 ",1.5,60,36,9%,1996,0
Commercial Real Estate,ABC1003085,Multifamily residential,1/1/13,4,"$7,290,276.96 ",5.11%,"$13,255,049.02 ","$1,362,619.04 ",3.66,120,100,37%,2009,0
Commercial Real Estate,ABC1003086,Multifamily residential,1/1/18,5,"$2,351,345.02 ",4.66%,"$3,985,330.55 ","$320,420.58 ",2.92,60,51,10%,2003,0
Commercial Real Estate,ABC1003087,Multifamily residential,1/1/15,9,"$7,279,386.61 ",5.61%,"$9,705,848.82 ","$690,085.85 ",1.69,60,27,3%,1995,0
Commercial Real Estate,ABC1003088,Retail space,1/1/16,4,"$1,424,342.34 ",4.34%,"$2,637,671.01 ","$201,781.83 ",3.26,120,13,2%,1995,0
Commercial Real Estate,ABC1003089,Retail space,1/1/17,5,"$4,611,324.74 ",5.13%,"$8,867,932.18 ","$460,245.68 ",1.95,120,77,12%,1995,0
Commercial Real Estate,ABC1003090,Retail space,1/1/17,6,"$15,261,450.14 ",5.13%,"$28,261,944.70 ","$1,283,092.29 ",1.64,120,8,14%,1997,0
Commercial Real Estate,ABC1003091,Retail space,1/1/13,9,"$3,026,418.71 ",5.68%,"$4,262,561.57 ","$233,162.12 ",1.36,120,50,4%,1999,0
Commercial Real Estate,ABC1003092,Retail space,1/1/13,8,"$17,544,067.90 ",5.55%,"$27,847,726.82 ","$1,044,289.76 ",1.07,120,107,11%,2003,0
Commercial Real Estate,ABC1003093,Multifamily residential,1/1/13,8,"$5,490,333.35 ",5.19%,"$7,625,462.99 ","$552,083.52 ",1.94,60,46,4%,2008,0
Commercial Real Estate,ABC1003094,Retail space,1/1/13,9,"$11,817,495.72 ",4.95%,"$16,882,136.74 ","$747,878.66 ",1.28,60,40,2%,2005,0
Commercial Real Estate,ABC1003095,Multifamily residential,1/1/12,8,"$11,501,949.20 ",5.92%,"$17,427,195.75 ","$1,003,806.48 ",1.47,120,31,8%,2008,0
Commercial Real Estate,ABC1003096,Retail space,1/1/18,8,"$8,277,240.09 ",4.98%,"$13,138,476.34 ","$487,437.47 ",1.18,60,15,15%,1996,0
Commercial Real Estate,ABC1003097,Multifamily residential,1/1/18,8,"$2,075,955.30 ",5.91%,"$3,295,167.14 ","$176,291.44 ",1.44,120,58,7%,2006,0
Commercial Real Estate,ABC1003098,Multifamily residential,1/1/16,10,"$3,405,751.41 ",4.23%,"$4,796,832.97 ","$152,059.61 ",1.06,180,95,14%,1996,0
Commercial Real Estate,ABC1003099,Office building,1/1/12,9,"$2,876,660.33 ",4.47%,"$3,887,378.83 ","$256,567.00 ",2,120,33,5%,2002,0
Commercial Real Estate,ABC1003100,Retail space,1/1/13,10,"$1,672,496.96 ",5.14%,"$2,260,131.02 ","$107,808.25 ",1.25,60,34,7%,1998,0
Commercial Real Estate,ABC1003101,Multifamily residential,1/1/11,9,"$10,892,298.43 ",4.59%,"$16,757,382.20 ","$408,880.13 ",0.82,60,34,34%,1996,0
Commercial Real Estate,ABC1003102,Multifamily residential,1/1/17,8,"$12,669,852.36 ",5.13%,"$19,492,080.55 ","$1,001,892.94 ",1.54,120,3,39%,2007,0
Commercial Real Estate,ABC1003103,Multifamily residential,1/1/11,9,"$8,784,161.50 ",5.60%,"$11,712,215.33 ","$958,059.21 ",1.95,180,175,3%,2005,0
Commercial Real Estate,ABC1003104,Multifamily residential,1/1/14,7,"$2,997,752.28 ",5.96%,"$4,474,257.14 ","$412,526.51 ",2.31,120,37,8%,2009,0
Commercial Real Estate,ABC1003105,Multifamily residential,1/1/16,7,"$10,050,324.22 ",5.07%,"$14,565,687.27 ","$1,265,758.22 ",2.48,60,53,8%,2000,0
Commercial Real Estate,ABC1003106,Retail space,1/1/11,10,"$9,300,319.13 ",4.66%,"$12,567,998.82 ","$554,248.75 ",1.28,120,66,9%,2006,1
Commercial Real Estate,ABC1003107,Office building,1/1/18,10,"$15,105,391.67 ",5.50%,"$20,140,522.23 ","$1,043,279.05 ",1.26,60,59,1%,2000,0
Commercial Real Estate,ABC1003108,Office building,1/1/12,8,"$5,744,610.28 ",5.41%,"$7,869,329.15 ","$626,398.60 ",2.02,60,52,4%,1999,0
Commercial Real Estate,ABC1003109,Multifamily residential,1/1/18,8,"$3,578,890.01 ",5.51%,"$5,505,984.64 ","$342,472.24 ",1.74,120,21,12%,2006,0
Commercial Real Estate,ABC1003110,Office building,1/1/11,4,"$564,587.60 ",4.43%,"$1,008,192.15 ","$84,788.96 ",3.39,180,146,4%,2006,0
Commercial Real Estate,ABC1003111,Multifamily residential,1/1/15,9,"$6,291,320.18 ",5.90%,"$8,737,944.69 ","$567,966.40 ",1.53,60,32,26%,1996,0
Commercial Real Estate,ABC1003112,Retail space,1/1/14,9,"$4,407,209.91 ",4.69%,"$5,955,689.06 ","$388,906.50 ",1.88,120,96,1%,1999,0
Commercial Real Estate,ABC1003113,Retail space,1/1/13,9,"$9,582,599.84 ",4.45%,"$13,496,619.50 ","$518,270.19 ",1.22,60,45,37%,2006,0
Commercial Real Estate,ABC1003114,Retail space,1/1/15,9,"$24,385,646.29 ",5.53%,"$35,341,516.36 ","$1,936,715.10 ",1.44,120,59,39%,2009,0
Commercial Real Estate,ABC1003115,Retail space,1/1/17,10,"$18,792,171.89 ",4.17%,"$24,726,541.96 ","$1,075,604.58 ",1.37,120,48,12%,1995,0
Commercial Real Estate,ABC1003116,Office building,1/1/15,6,"$1,362,166.50 ",4.40%,"$2,033,084.32 ","$163,053.36 ",2.72,120,3,11%,2005,0
Commercial Real Estate,ABC1003117,Retail space,1/1/19,8,"$18,659,249.93 ",5.00%,"$27,849,626.76 ","$1,434,255.78 ",1.54,120,52,12%,2009,0
Commercial Real Estate,ABC1003118,Office building,1/1/15,8,"$15,594,064.08 ",4.03%,"$20,792,085.44 ","$1,582,277.70 ",2.52,60,41,8%,2009,1
Commercial Real Estate,ABC1003119,Office building,1/1/11,5,"$2,959,078.95 ",5.26%,"$7,217,265.73 ","$230,230.78 ",1.48,120,84,28%,2009,0
Commercial Real Estate,ABC1003120,Retail space,1/1/14,7,"$7,687,174.56 ",4.86%,"$12,011,210.25 ","$702,655.80 ",1.88,60,3,34%,1998,1
Commercial Real Estate,ABC1003121,Multifamily residential,1/1/12,9,"$5,312,601.40 ",4.11%,"$7,277,536.16 ","$416,275.07 ",1.91,60,13,15%,2005,1
Commercial Real Estate,ABC1003122,Office building,1/1/13,6,"$5,234,058.11 ",5.26%,"$10,904,287.73 ","$290,054.05 ",1.05,120,84,13%,2004,0
Commercial Real Estate,ABC1003123,Multifamily residential,1/1/14,10,"$4,421,933.26 ",4.18%,"$5,742,770.46 ","$280,821.48 ",1.52,120,95,13%,2003,0
Commercial Real Estate,ABC1003124,Retail space,1/1/14,10,"$3,191,584.95 ",4.41%,"$3,626,801.08 ","$312,992.93 ",2.22,60,5,30%,2009,0
Commercial Real Estate,ABC1003125,Multifamily residential,1/1/16,12,"$9,907,386.88 ",4.66%,"$12,231,341.83 ","$366,940.25 ",0.79,60,34,12%,1999,0
Commercial Real Estate,ABC1003126,Retail space,1/1/17,7,"$3,872,841.39 ",5.10%,"$6,051,314.67 ","$394,545.72 ",2,180,152,27%,1998,0
Commercial Real Estate,ABC1003127,Retail space,1/1/13,8,"$8,155,504.03 ",5.88%,"$10,874,005.38 ","$1,010,195.10 ",2.11,120,54,2%,2005,0
Commercial Real Estate,ABC1003128,Office building,1/1/19,10,"$717,560.65 ",5.82%,"$1,010,648.80 ","$26,681.13 ",0.64,60,38,11%,2005,0
Commercial Real Estate,ABC1003129,Multifamily residential,1/1/18,9,"$2,229,396.09 ",4.37%,"$3,053,967.24 ","$141,398.68 ",1.45,60,34,10%,1999,0
Commercial Real Estate,ABC1003130,Multifamily residential,1/1/15,11,"$14,986,110.54 ",4.41%,"$18,969,760.17 ","$648,765.80 ",0.98,180,68,2%,1999,0
Commercial Real Estate,ABC1003131,Office building,1/1/11,10,"$10,102,772.82 ",4.46%,"$12,952,272.85 ","$685,175.23 ",1.52,60,8,37%,2006,1
Commercial Real Estate,ABC1003132,Retail space,1/1/19,6,"$7,244,692.15 ",4.74%,"$11,499,511.36 ","$917,661.01 ",2.67,180,89,1%,2001,1
Commercial Real Estate,ABC1003133,Retail space,1/1/18,7,"$38,476,696.66 ",4.20%,"$51,995,536.02 ","$4,398,822.35 ",2.72,180,174,12%,2008,0
Commercial Real Estate,ABC1003134,Office building,1/1/15,5,"$4,568,808.04 ",5.14%,"$8,460,755.64 ","$519,490.40 ",2.21,180,87,12%,1999,0
Commercial Real Estate,ABC1003135,Multifamily residential,1/1/14,5,"$3,190,376.61 ",4.66%,"$5,908,104.83 ","$329,672.25 ",2.22,60,33,3%,2009,0
Commercial Real Estate,ABC1003136,Retail space,1/1/14,9,"$987,187.35 ",5.13%,"$1,566,964.05 ","$48,105.80 ",0.95,120,68,32%,1997,0
Commercial Real Estate,ABC1003137,Multifamily residential,1/1/13,4,"$1,412,633.67 ",4.56%,"$2,665,346.55 ","$172,181.39 ",2.67,60,21,5%,2001,0
Commercial Real Estate,ABC1003138,Office building,1/1/17,8,"$1,117,772.33 ",5.31%,"$1,574,327.23 ","$112,721.83 ",1.9,120,73,15%,1996,0
Commercial Real Estate,ABC1003139,Retail space,1/1/15,9,"$1,815,995.93 ",5.44%,"$2,631,878.16 ","$155,280.81 ",1.57,120,81,26%,1997,0
Commercial Real Estate,ABC1003140,Retail space,1/1/18,9,"$5,394,663.81 ",5.73%,"$7,933,329.13 ","$316,539.83 ",1.02,60,49,9%,2004,0
Commercial Real Estate,ABC1003141,Retail space,1/1/18,8,"$7,930,673.63 ",5.56%,"$11,493,729.90 ","$735,598.71 ",1.67,60,57,4%,1998,0
Commercial Real Estate,ABC1003142,Multifamily residential,1/1/17,7,"$3,095,700.29 ",5.29%,"$4,620,448.19 ","$374,718.35 ",2.29,120,22,9%,2001,0
Commercial Real Estate,ABC1003143,Office building,1/1/15,7,"$2,058,462.57 ",5.85%,"$2,819,811.74 ","$334,993.63 ",2.78,180,36,11%,2000,0
Commercial Real Estate,ABC1003144,Retail space,1/1/16,8,"$3,087,768.65 ",4.41%,"$4,608,609.92 ","$212,917.78 ",1.56,120,57,2%,2001,1
Commercial Real Estate,ABC1003145,Retail space,1/1/16,10,"$1,312,292.11 ",4.37%,"$1,682,425.78 ","$68,474.73 ",1.19,60,18,12%,2003,1
Commercial Real Estate,ABC1003146,Retail space,1/1/18,7,"$10,790,316.97 ",5.21%,"$15,638,140.54 ","$1,538,793.03 ",2.74,120,11,14%,2003,0
Commercial Real Estate,ABC1003147,Retail space,1/1/13,4,"$8,827,172.67 ",5.19%,"$14,470,774.88 ","$1,585,996.93 ",3.46,60,34,14%,2003,0
Commercial Real Estate,ABC1003148,Retail space,1/1/15,9,"$3,703,336.56 ",4.58%,"$5,973,123.49 ","$133,797.97 ",0.79,60,37,3%,1998,0
Commercial Real Estate,ABC1003149,Retail space,1/1/12,8,"$3,767,343.93 ",4.00%,"$5,306,118.21 ","$292,367.11 ",1.94,120,94,3%,1998,1
Commercial Real Estate,ABC1003150,Retail space,1/1/13,10,"$2,291,783.94 ",5.27%,"$2,829,362.89 ","$196,074.85 ",1.62,120,71,4%,1999,1
Commercial Real Estate,ABC1003151,Office building,1/1/12,7,"$2,265,555.54 ",5.09%,"$3,331,699.33 ","$261,205.23 ",2.27,120,34,9%,2003,0
Commercial Real Estate,ABC1003152,Office building,1/1/16,8,"$5,465,650.99 ",4.24%,"$7,098,248.04 ","$576,377.74 ",2.49,60,4,12%,2006,0
Commercial Real Estate,ABC1003153,Office building,1/1/14,8,"$3,706,527.46 ",4.64%,"$5,147,954.81 ","$323,291.56 ",1.88,60,56,11%,2000,1
Commercial Real Estate,ABC1003154,Multifamily residential,1/1/13,7,"$4,357,949.05 ",5.54%,"$7,263,248.41 ","$453,226.70 ",1.88,120,35,15%,2008,0
Commercial Real Estate,ABC1003155,Retail space,1/1/17,8,"$1,477,938.50 ",4.46%,"$2,141,939.85 ","$128,088.00 ",1.94,180,117,11%,2009,0
Commercial Real Estate,ABC1003156,Multifamily residential,1/1/16,8,"$4,702,559.37 ",4.60%,"$6,531,332.46 ","$478,093.54 ",2.21,120,21,10%,2003,0
Commercial Real Estate,ABC1003157,Multifamily residential,1/1/15,9,"$1,268,198.80 ",4.53%,"$1,713,782.17 ","$82,775.68 ",1.44,60,38,6%,2001,0
Commercial Real Estate,ABC1003158,Retail space,1/1/18,6,"$5,125,955.02 ",5.25%,"$9,153,491.10 ","$588,569.48 ",2.19,120,3,3%,2003,0
Commercial Real Estate,ABC1003159,Retail space,1/1/12,9,"$12,488,786.61 ",4.15%,"$17,345,536.96 ","$667,803.17 ",1.29,120,114,11%,2000,0
Commercial Real Estate,ABC1003160,Retail space,1/1/18,8,"$4,446,700.83 ",4.84%,"$6,636,866.91 ","$376,310.35 ",1.75,60,57,14%,1998,1
Commercial Real Estate,ABC1003161,Office building,1/1/17,6,"$1,776,599.24 ",5.71%,"$3,172,498.65 ","$203,039.91 ",2,60,38,37%,1996,0
Commercial Real Estate,ABC1003162,Multifamily residential,1/1/16,7,"$3,541,018.64 ",4.20%,"$5,207,380.35 ","$310,880.61 ",2.09,120,116,4%,1997,0
Commercial Real Estate,ABC1003163,Multifamily residential,1/1/14,8,"$7,272,546.05 ",5.03%,"$10,243,022.60 ","$818,417.51 ",2.24,120,102,8%,2003,0
Commercial Real Estate,ABC1003164,Retail space,1/1/12,10,"$584,649.38 ",5.48%,"$812,013.03 ","$39,463.83 ",1.23,120,33,4%,2005,1
Commercial Real Estate,ABC1003165,Retail space,1/1/15,10,"$1,183,479.43 ",4.09%,"$1,599,296.52 ","$56,775.03 ",1.17,120,109,13%,2007,0
Commercial Real Estate,ABC1003166,Multifamily residential,1/1/16,9,"$987,419.13 ",5.09%,"$1,334,350.17 ","$77,926.05 ",1.55,60,16,39%,1996,0
Commercial Real Estate,ABC1003167,Retail space,1/1/17,9,"$45,083,832.98 ",5.92%,"$63,498,356.31 ","$4,419,485.60 ",1.66,120,7,2%,2006,0
Commercial Real Estate,ABC1003168,Retail space,1/1/17,8,"$3,160,354.30 ",5.08%,"$4,647,579.86 ","$283,502.37 ",1.77,120,21,40%,2000,0
Commercial Real Estate,ABC1003169,Retail space,1/1/18,5,"$2,046,007.71 ",4.34%,"$3,934,630.22 ","$188,468.79 ",2.12,120,1,1%,2005,0
Commercial Real Estate,ABC1003170,Retail space,1/1/12,9,"$2,572,558.34 ",5.84%,"$3,384,945.19 ","$264,025.72 ",1.76,60,8,28%,2001,0
Commercial Real Estate,ABC1003171,Office building,1/1/11,7,"$1,324,297.88 ",5.14%,"$2,006,511.93 ","$133,834.35 ",1.97,120,22,15%,2004,0
Commercial Real Estate,ABC1003172,Office building,1/1/15,10,"$414,188.68 ",5.63%,"$567,381.75 ","$29,617.33 ",1.27,120,37,26%,1996,1
Commercial Real Estate,ABC1003173,Multifamily residential,1/1/15,9,"$12,270,223.78 ",5.65%,"$17,041,977.47 ","$1,158,854.47 ",1.67,60,28,3%,2001,0
Commercial Real Estate,ABC1003174,Retail space,1/1/16,7,"$1,331,974.50 ",4.47%,"$1,988,021.65 ","$153,475.27 ",2.58,60,31,37%,2001,0
Commercial Real Estate,ABC1003175,Office building,1/1/19,8,"$641,986.37 ",4.57%,"$1,035,461.89 ","$36,551.80 ",1.25,120,40,31%,2000,0
Commercial Real Estate,ABC1003176,Office building,1/1/14,8,"$1,932,455.62 ",5.43%,"$2,760,650.88 ","$194,625.89 ",1.85,60,38,11%,2002,0
Commercial Real Estate,ABC1003177,Multifamily residential,1/1/17,5,"$2,484,961.37 ",4.66%,"$3,823,017.50 ","$382,684.05 ",3.3,60,51,10%,2002,0
